user,hotel,city,rating
user_012,Monarch Lodge,New York,5
user_012,Lantern Lodge,Chicago,5
user_012,Lantern Grand Hotel,Vancouver,5
user_012,Cascade Inn,Seattle,5
user_012,Azure Inn,Vancouver,5
user_012,Monarch Inn,Toronto,5
user_012,Azure Resort,Seattle,5
user_012,Regent Resort,Toronto,3
user_013,Summit Grand Hotel,New York,4
user_013,Coral Suites,Toronto,4
user_013,Vela Grand Hotel,Austin,4
user_013,Monarch Grand Hotel,Toronto,4
user_013,Azure Suites,Toronto,3
user_013,Cascade Lodge,Vancouver,4
user_013,Cascade Inn,Seattle,4
user_013,Azure Inn,Vancouver,4
user_013,Meridian Grand Hotel,Toronto,4
user_013,Aspen Lodge,Austin,3
user_013,Lantern Resort,Austin,4
user_013,Harbor Lodge,Vancouver,4
user_013,Ivy Lodge,Seattle,3
user_013,Monarch Resort,Vancouver,3
user_013,Summit Lodge,Vancouver,3
user_013,Coral Inn,Chicago,3
user_013,Lantern Grand Hotel,Vancouver,3
user_014,Meridian Suites,Chicago,3
user_014,Lantern Resort,Austin,3
user_014,Ivy Lodge,Seattle,3
user_014,Harbor Resort,Toronto,1
user_014,Aspen Grand Hotel,Toronto,4
user_014,Vela Inn,Austin,3
user_014,Meridian Lodge,Chicago,3
user_014,Summit Grand Hotel,New York,3
user_015,Meridian Suites,Chicago,4
user_015,Aspen Grand Hotel,Toronto,2
user_015,Azure Lodge,Vancouver,3
user_015,Azure Suites,Toronto,2
user_015,Aspen Lodge,Austin,3
user_015,Monarch Lodge,New York,4
user_015,Summit Grand Hotel,New York,2
user_016,Azure Resort,Seattle,4
user_016,Cascade Suites,Toronto,5
user_016,Lantern Lodge,Chicago,4
user_016,Meridian Inn,New York,4
user_016,Monarch Resort,Vancouver,5
user_016,Ivy Inn,Chicago,4
user_016,Meridian Grand Hotel,Toronto,4
user_016,Summit Lodge,Vancouver,4
user_017,Lantern Resort,Austin,3
user_017,Azure Suites,Toronto,3
user_017,Azure Lodge,Vancouver,3
user_017,Regent Grand Hotel,Toronto,1
user_017,Harbor Grand Hotel,Austin,3
user_017,Aspen Lodge,Austin,4
user_017,Aspen Grand Hotel,Toronto,3
user_017,Coral Lodge,Chicago,3
user_017,Coral Grand Hotel,New York,2
user_017,Cascade Inn,Seattle,4
user_018,Azure Suites,Toronto,5
user_018,Coral Suites,Toronto,5
user_018,Lantern Lodge,Chicago,5
user_018,Cascade Inn,Seattle,4
user_018,Ivy Resort,New York,4
user_018,Summit Inn,Toronto,5
user_018,Aspen Inn,New York,5
user_018,Meridian Suites,Chicago,2
user_018,Monarch Grand Hotel,Toronto,3
user_018,Cascade Grand Hotel,Austin,5
user_018,Aspen Lodge,Austin,3
user_018,Harbor Grand Hotel,Austin,2
user_018,Monarch Lodge,New York,2
user_019,Harbor Suites,Austin,3
user_019,Cascade Inn,Seattle,4
user_019,Cascade Grand Hotel,Austin,3
user_019,Azure Lodge,Vancouver,3
user_019,Meridian Resort,New York,4
user_019,Ivy Inn,Chicago,4
user_019,Regent Grand Hotel,Toronto,3
user_019,Summit Suites,New York,3
user_019,Lantern Resort,Austin,2
user_019,Aspen Inn,New York,1
user_019,Summit Lodge,Vancouver,3
user_019,Aspen Lodge,Austin,3
user_019,Coral Grand Hotel,New York,2
user_019,Lantern Grand Hotel,Vancouver,4
user_019,Lantern Suites,New York,2
user_019,Vela Suites,Toronto,3
user_019,Harbor Inn,Seattle,4
user_019,Coral Inn,Chicago,3
user_019,Monarch Resort,Vancouver,2
user_020,Azure Inn,Vancouver,5
user_020,Harbor Suites,Austin,5
user_020,Vela Lodge,New York,5
user_020,Coral Grand Hotel,New York,5
user_020,Meridian Grand Hotel,Toronto,5
user_020,Vela Suites,Toronto,4
user_021,Regent Grand Hotel,Toronto,1
user_021,Lantern Resort,Austin,3
user_021,Azure Grand Hotel,Seattle,3
user_021,Summit Grand Hotel,New York,5
user_021,Regent Inn,New York,3
user_021,Harbor Grand Hotel,Austin,3
user_022,Aspen Lodge,Austin,3
user_022,Lantern Suites,New York,1
user_022,Regent Grand Hotel,Toronto,5
user_022,Summit Grand Hotel,New York,2
user_022,Meridian Grand Hotel,Toronto,3
user_022,Cascade Lodge,Vancouver,2
user_023,Vela Suites,Toronto,3
user_023,Azure Lodge,Vancouver,3
user_023,Summit Lodge,Vancouver,4
user_023,Lantern Inn,Austin,3
user_023,Meridian Suites,Chicago,3
user_023,Regent Grand Hotel,Toronto,3
user_023,Coral Grand Hotel,New York,2
user_023,Summit Grand Hotel,New York,3
user_023,Harbor Lodge,Vancouver,3
user_023,Meridian Inn,New York,3
user_023,Summit Resort,New York,3
user_023,Azure Suites,Toronto,2
user_023,Meridian Resort,New York,3
user_024,Azure Suites,Toronto,1
user_024,Cascade Suites,Toronto,2
user_024,Azure Inn,Vancouver,2
user_024,Vela Suites,Toronto,1
user_024,Meridian Grand Hotel,Toronto,2
user_024,Cascade Inn,Seattle,2
user_025,Vela Inn,Austin,4
user_025,Ivy Suites,Vancouver,4
user_025,Vela Lodge,New York,4
user_025,Harbor Suites,Austin,4
user_025,Meridian Lodge,Chicago,4
user_025,Monarch Lodge,New York,4
user_025,Cascade Grand Hotel,Austin,3
user_025,Lantern Inn,Austin,5
user_025,Summit Resort,New York,3
user_025,Lantern Resort,Austin,4
user_025,Azure Inn,Vancouver,4
user_025,Coral Lodge,Chicago,4
user_025,Ivy Lodge,Seattle,4
user_025,Coral Suites,Toronto,2
user_025,Meridian Suites,Chicago,4
user_025,Ivy Resort,New York,3
user_025,Vela Suites,Toronto,4
user_025,Summit Grand Hotel,New York,2
user_026,Azure Grand Hotel,Seattle,5
user_026,Ivy Lodge,Seattle,3
user_026,Azure Inn,Vancouver,2
user_026,Harbor Suites,Austin,2
user_026,Regent Grand Hotel,Toronto,1
user_026,Meridian Suites,Chicago,2
user_026,Lantern Resort,Austin,3
user_026,Harbor Lodge,Vancouver,2
user_026,Monarch Lodge,New York,3
user_026,Coral Suites,Toronto,3
user_026,Cascade Resort,Seattle,3
user_026,Azure Suites,Toronto,4
user_026,Aspen Lodge,Austin,2
user_026,Cascade Suites,Toronto,2
user_026,Azure Resort,Seattle,3
user_027,Azure Lodge,Vancouver,4
user_027,Aspen Inn,New York,4
user_027,Coral Resort,Toronto,2
user_027,Coral Grand Hotel,New York,4
user_027,Aspen Grand Hotel,Toronto,5
user_027,Cascade Suites,Toronto,4
user_027,Cascade Resort,Seattle,3
user_027,Cascade Lodge,Vancouver,5
user_027,Regent Resort,Toronto,3
user_027,Monarch Inn,Toronto,5
user_027,Coral Lodge,Chicago,5
user_027,Vela Grand Hotel,Austin,3
user_027,Azure Inn,Vancouver,5
user_027,Regent Suites,Vancouver,4
user_027,Aspen Lodge,Austin,3
user_028,Summit Grand Hotel,New York,4
user_028,Coral Resort,Toronto,5
user_028,Aspen Lodge,Austin,4
user_028,Lantern Inn,Austin,4
user_028,Lantern Resort,Austin,5
user_028,Lantern Lodge,Chicago,3
user_029,Ivy Resort,New York,4
user_029,Lantern Inn,Austin,2
user_029,Aspen Grand Hotel,Toronto,3
user_029,Lantern Resort,Austin,3
user_029,Cascade Inn,Seattle,3
user_029,Azure Lodge,Vancouver,3
user_029,Ivy Suites,Vancouver,2
user_029,Regent Resort,Toronto,3
user_029,Vela Lodge,New York,3
user_029,Regent Grand Hotel,Toronto,2
user_029,Azure Suites,Toronto,4
user_029,Coral Lodge,Chicago,4
user_029,Ivy Lodge,Seattle,3
user_029,Cascade Suites,Toronto,3
user_029,Azure Grand Hotel,Seattle,3
user_030,Meridian Grand Hotel,Toronto,4
user_030,Monarch Inn,Toronto,3
user_030,Aspen Lodge,Austin,2
user_030,Harbor Lodge,Vancouver,4
user_030,Meridian Suites,Chicago,3
user_030,Summit Lodge,Vancouver,3
user_030,Coral Suites,Toronto,3
user_030,Summit Inn,Toronto,3
user_030,Regent Lodge,New York,2
user_030,Vela Inn,Austin,2
user_030,Meridian Lodge,Chicago,5
user_030,Azure Resort,Seattle,3
user_030,Cascade Suites,Toronto,3
user_030,Coral Lodge,Chicago,5
user_031,Summit Inn,Toronto,2
user_031,Regent Grand Hotel,Toronto,1
user_031,Vela Suites,Toronto,3
user_031,Coral Suites,Toronto,2
user_031,Azure Inn,Vancouver,4
user_031,Aspen Resort,New York,3
user_031,Monarch Inn,Toronto,2
user_031,Azure Suites,Toronto,3
user_031,Coral Inn,Chicago,4
user_031,Meridian Suites,Chicago,3
user_031,Cascade Resort,Seattle,2
user_031,Summit Lodge,Vancouver,1
user_031,Meridian Resort,New York,3
user_031,Meridian Lodge,Chicago,4
user_031,Azure Lodge,Vancouver,3
user_031,Cascade Suites,Toronto,3
user_032,Summit Grand Hotel,New York,2
user_032,Meridian Resort,New York,3
user_032,Cascade Grand Hotel,Austin,2
user_032,Azure Inn,Vancouver,5
user_032,Cascade Suites,Toronto,3
user_032,Harbor Lodge,Vancouver,5
user_032,Lantern Resort,Austin,3
user_032,Coral Suites,Toronto,3
user_032,Harbor Suites,Austin,1
user_032,Ivy Lodge,Seattle,1
user_032,Vela Suites,Toronto,2
user_032,Azure Suites,Toronto,2
user_032,Monarch Inn,Toronto,4
user_032,Summit Lodge,Vancouver,2
user_032,Coral Resort,Toronto,1
user_032,Vela Grand Hotel,Austin,2
user_033,Regent Suites,Vancouver,2
user_033,Coral Inn,Chicago,2
user_033,Cascade Resort,Seattle,4
user_033,Coral Suites,Toronto,1
user_033,Vela Resort,Chicago,2
user_033,Azure Suites,Toronto,1
user_033,Harbor Lodge,Vancouver,2
user_033,Cascade Lodge,Vancouver,2
user_033,Azure Lodge,Vancouver,2
user_033,Monarch Inn,Toronto,2
user_033,Meridian Inn,New York,2
user_033,Lantern Inn,Austin,2
user_033,Lantern Resort,Austin,3
user_033,Meridian Suites,Chicago,3
user_033,Aspen Grand Hotel,Toronto,2
user_033,Aspen Inn,New York,1
user_034,Cascade Lodge,Vancouver,3
user_034,Aspen Inn,New York,3
user_034,Regent Grand Hotel,Toronto,2
user_034,Regent Lodge,New York,3
user_034,Coral Suites,Toronto,4
user_034,Cascade Resort,Seattle,2
user_034,Ivy Resort,New York,4
user_034,Azure Suites,Toronto,3
user_034,Azure Resort,Seattle,3
user_034,Meridian Suites,Chicago,3
user_034,Meridian Lodge,Chicago,4
user_034,Azure Inn,Vancouver,3
user_034,Summit Grand Hotel,New York,3
user_034,Regent Inn,New York,5
user_034,Aspen Resort,New York,4
user_034,Monarch Lodge,New York,3
user_034,Monarch Inn,Toronto,5
user_034,Summit Lodge,Vancouver,4
user_034,Coral Resort,Toronto,2
user_035,Lantern Grand Hotel,Vancouver,3
user_035,Meridian Inn,New York,5
user_035,Aspen Resort,New York,3
user_035,Azure Suites,Toronto,3
user_035,Regent Suites,Vancouver,2
user_035,Vela Grand Hotel,Austin,2
user_035,Ivy Resort,New York,1
user_035,Monarch Grand Hotel,Toronto,2
user_035,Aspen Inn,New York,4
user_035,Coral Inn,Chicago,2
user_035,Vela Resort,Chicago,3
user_035,Regent Grand Hotel,Toronto,1
user_035,Coral Lodge,Chicago,2
user_035,Meridian Resort,New York,1
user_035,Summit Suites,New York,2
user_035,Ivy Suites,Vancouver,2
user_035,Summit Inn,Toronto,5
user_035,Monarch Resort,Vancouver,3
user_036,Azure Inn,Vancouver,4
user_036,Cascade Resort,Seattle,4
user_036,Summit Resort,New York,4
user_036,Lantern Grand Hotel,Vancouver,4
user_036,Coral Resort,Toronto,4
user_036,Coral Inn,Chicago,4
user_036,Aspen Inn,New York,3
user_036,Regent Inn,New York,4
user_036,Azure Resort,Seattle,4
user_036,Monarch Inn,Toronto,4
user_036,Summit Suites,New York,4
user_036,Meridian Resort,New York,3
user_036,Meridian Grand Hotel,Toronto,5
user_037,Summit Inn,Toronto,1
user_037,Monarch Inn,Toronto,3
user_037,Ivy Resort,New York,5
user_037,Meridian Resort,New York,3
user_037,Lantern Grand Hotel,Vancouver,2
user_037,Azure Lodge,Vancouver,1
user_038,Coral Grand Hotel,New York,5
user_038,Harbor Suites,Austin,4
user_038,Cascade Inn,Seattle,2
user_038,Meridian Suites,Chicago,4
user_038,Monarch Grand Hotel,Toronto,3
user_038,Regent Suites,Vancouver,2
user_038,Meridian Inn,New York,4
user_038,Harbor Lodge,Vancouver,2
user_038,Coral Suites,Toronto,3
user_038,Ivy Resort,New York,2
user_038,Lantern Grand Hotel,Vancouver,4
user_038,Meridian Grand Hotel,Toronto,2
user_039,Lantern Inn,Austin,2
user_039,Azure Grand Hotel,Seattle,4
user_039,Aspen Inn,New York,2
user_039,Ivy Inn,Chicago,2
user_039,Harbor Lodge,Vancouver,2
user_039,Coral Suites,Toronto,2
user_039,Summit Inn,Toronto,3
user_039,Ivy Resort,New York,1
user_039,Lantern Resort,Austin,2
user_039,Coral Lodge,Chicago,2
user_039,Aspen Lodge,Austin,2
user_039,Azure Suites,Toronto,1
user_039,Meridian Resort,New York,1
user_039,Cascade Resort,Seattle,4
user_039,Lantern Grand Hotel,Vancouver,2
user_039,Azure Resort,Seattle,1
user_039,Azure Inn,Vancouver,1
user_040,Ivy Inn,Chicago,3
user_040,Coral Lodge,Chicago,4
user_040,Aspen Grand Hotel,Toronto,4
user_040,Azure Lodge,Vancouver,2
user_040,Summit Suites,New York,2
user_040,Lantern Grand Hotel,Vancouver,4
user_040,Harbor Lodge,Vancouver,4
user_040,Cascade Inn,Seattle,3
user_040,Monarch Lodge,New York,3
user_040,Aspen Resort,New York,3
user_040,Coral Inn,Chicago,2
user_041,Aspen Resort,New York,4
user_041,Cascade Resort,Seattle,2
user_041,Ivy Inn,Chicago,4
user_041,Lantern Suites,New York,4
user_041,Lantern Lodge,Chicago,3
user_041,Regent Grand Hotel,Toronto,1
user_041,Meridian Suites,Chicago,3
user_041,Regent Lodge,New York,5
user_041,Monarch Inn,Toronto,3
user_041,Summit Lodge,Vancouver,2
user_041,Ivy Suites,Vancouver,3
user_041,Harbor Lodge,Vancouver,2
user_041,Harbor Grand Hotel,Austin,3
user_041,Cascade Suites,Toronto,3
user_041,Ivy Resort,New York,4
user_041,Coral Inn,Chicago,4
user_041,Meridian Resort,New York,3
user_041,Azure Resort,Seattle,5
user_041,Summit Resort,New York,4
user_041,Meridian Grand Hotel,Toronto,3
user_042,Lantern Inn,Austin,3
user_042,Azure Lodge,Vancouver,2
user_042,Summit Grand Hotel,New York,2
user_042,Meridian Resort,New York,3
user_042,Azure Resort,Seattle,2
user_042,Monarch Inn,Toronto,3
user_042,Lantern Grand Hotel,Vancouver,2
user_042,Meridian Grand Hotel,Toronto,4
user_043,Cascade Suites,Toronto,3
user_043,Aspen Inn,New York,3
user_043,Azure Inn,Vancouver,3
user_043,Cascade Inn,Seattle,3
user_043,Coral Resort,Toronto,3
user_043,Regent Grand Hotel,Toronto,3
user_043,Lantern Inn,Austin,3
user_043,Monarch Lodge,New York,3
user_043,Monarch Grand Hotel,Toronto,3
user_043,Aspen Lodge,Austin,3
user_043,Monarch Resort,Vancouver,4
user_043,Coral Grand Hotel,New York,4
user_043,Coral Suites,Toronto,3
user_043,Vela Resort,Chicago,3
user_043,Regent Lodge,New York,3
user_043,Lantern Resort,Austin,4
user_043,Monarch Suites,New York,4
user_044,Cascade Resort,Seattle,3
user_044,Cascade Lodge,Vancouver,2
user_044,Azure Lodge,Vancouver,5
user_044,Vela Suites,Toronto,4
user_044,Summit Resort,New York,5
user_044,Ivy Inn,Chicago,2
user_044,Harbor Lodge,Vancouver,3
user_044,Coral Suites,Toronto,3
user_045,Meridian Resort,New York,5
user_045,Ivy Inn,Chicago,5
user_045,Cascade Resort,Seattle,3
user_045,Azure Suites,Toronto,4
user_045,Regent Grand Hotel,Toronto,4
user_045,Coral Lodge,Chicago,4
user_046,Aspen Lodge,Austin,2
user_046,Azure Lodge,Vancouver,3
user_046,Monarch Grand Hotel,Toronto,2
user_046,Ivy Resort,New York,2
user_046,Lantern Inn,Austin,3
user_046,Summit Lodge,Vancouver,3
user_046,Vela Suites,Toronto,2
user_047,Vela Inn,Austin,3
user_047,Harbor Resort,Toronto,4
user_047,Coral Lodge,Chicago,4
user_047,Lantern Inn,Austin,4
user_047,Meridian Inn,New York,4
user_047,Azure Suites,Toronto,4
user_047,Regent Lodge,New York,3
user_047,Monarch Inn,Toronto,4
user_047,Coral Inn,Chicago,4
user_047,Cascade Inn,Seattle,5
user_047,Harbor Lodge,Vancouver,4
user_047,Summit Grand Hotel,New York,4
user_047,Regent Inn,New York,5
user_048,Cascade Suites,Toronto,2
user_048,Harbor Suites,Austin,2
user_048,Monarch Inn,Toronto,3
user_048,Vela Inn,Austin,2
user_048,Azure Resort,Seattle,3
user_048,Lantern Grand Hotel,Vancouver,2
user_048,Azure Suites,Toronto,3
user_048,Lantern Resort,Austin,2
user_048,Coral Resort,Toronto,2
user_048,Cascade Inn,Seattle,2
user_048,Summit Inn,Toronto,2
user_049,Azure Grand Hotel,Seattle,2
user_049,Meridian Resort,New York,4
user_049,Aspen Suites,New York,3
user_049,Aspen Lodge,Austin,3
user_049,Lantern Grand Hotel,Vancouver,3
user_049,Azure Lodge,Vancouver,3
user_049,Regent Grand Hotel,Toronto,3
user_049,Ivy Inn,Chicago,4
user_049,Azure Suites,Toronto,4
user_049,Monarch Resort,Vancouver,4
user_049,Cascade Inn,Seattle,3
user_049,Monarch Grand Hotel,Toronto,2
user_049,Monarch Inn,Toronto,2
user_049,Regent Resort,Toronto,3
user_049,Cascade Lodge,Vancouver,3
user_050,Coral Suites,Toronto,1
user_050,Ivy Lodge,Seattle,1
user_050,Monarch Resort,Vancouver,1
user_050,Aspen Lodge,Austin,1
user_050,Harbor Lodge,Vancouver,2
user_050,Aspen Grand Hotel,Toronto,2
user_050,Azure Inn,Vancouver,1
user_050,Meridian Grand Hotel,Toronto,1
user_050,Cascade Inn,Seattle,2
user_050,Azure Grand Hotel,Seattle,3
user_050,Lantern Grand Hotel,Vancouver,2
user_050,Vela Resort,Chicago,2
user_050,Harbor Suites,Austin,3
user_050,Regent Resort,Toronto,1
user_050,Regent Lodge,New York,2
user_050,Cascade Grand Hotel,Austin,2
user_050,Lantern Resort,Austin,1
user_050,Lantern Inn,Austin,1
user_050,Ivy Resort,New York,1
user_050,Aspen Inn,New York,1
user_051,Coral Inn,Chicago,3
user_051,Aspen Lodge,Austin,4
user_051,Vela Resort,Chicago,3
user_051,Lantern Resort,Austin,3
user_051,Cascade Inn,Seattle,3
user_051,Meridian Suites,Chicago,4
user_051,Ivy Resort,New York,4
user_051,Aspen Resort,New York,4
user_051,Coral Suites,Toronto,3
user_052,Azure Grand Hotel,Seattle,3
user_052,Cascade Suites,Toronto,2
user_052,Regent Resort,Toronto,3
user_052,Lantern Inn,Austin,2
user_052,Summit Grand Hotel,New York,2
user_052,Azure Resort,Seattle,3
user_052,Harbor Suites,Austin,2
user_052,Lantern Suites,New York,2
user_052,Monarch Lodge,New York,3
user_052,Meridian Resort,New York,2
user_052,Vela Resort,Chicago,3
user_052,Cascade Grand Hotel,Austin,3
user_052,Azure Inn,Vancouver,3
user_052,Aspen Lodge,Austin,3
user_052,Coral Resort,Toronto,2
user_052,Aspen Grand Hotel,Toronto,3
user_052,Ivy Resort,New York,3
user_052,Aspen Resort,New York,2
user_052,Regent Grand Hotel,Toronto,2
user_052,Cascade Resort,Seattle,3
user_053,Coral Resort,Toronto,2
user_053,Aspen Grand Hotel,Toronto,4
user_053,Ivy Grand Hotel,New York,3
user_053,Summit Suites,New York,3
user_053,Azure Resort,Seattle,4
user_053,Summit Resort,New York,3
user_053,Lantern Grand Hotel,Vancouver,3
user_053,Ivy Suites,Vancouver,2
user_053,Meridian Resort,New York,3
user_053,Ivy Resort,New York,4
user_053,Coral Grand Hotel,New York,3
user_053,Azure Inn,Vancouver,3
user_053,Coral Suites,Toronto,4
user_053,Coral Inn,Chicago,3
user_054,Ivy Lodge,Seattle,1
user_054,Cascade Resort,Seattle,2
user_054,Lantern Suites,New York,1
user_054,Coral Lodge,Chicago,3
user_054,Lantern Grand Hotel,Vancouver,3
user_054,Azure Suites,Toronto,2
user_054,Meridian Inn,New York,3
user_054,Harbor Lodge,Vancouver,3
user_054,Monarch Lodge,New York,3
user_054,Coral Resort,Toronto,1
user_054,Monarch Inn,Toronto,3
user_054,Meridian Suites,Chicago,3
user_054,Lantern Inn,Austin,2
user_054,Aspen Grand Hotel,Toronto,3
user_054,Monarch Resort,Vancouver,2
user_054,Aspen Lodge,Austin,2
user_054,Aspen Suites,New York,2
user_055,Coral Lodge,Chicago,5
user_055,Monarch Grand Hotel,Toronto,4
user_055,Regent Suites,Vancouver,4
user_055,Harbor Suites,Austin,4
user_055,Aspen Suites,New York,4
user_055,Azure Lodge,Vancouver,4
user_055,Cascade Inn,Seattle,5
user_055,Vela Lodge,New York,4
user_056,Summit Resort,New York,4
user_056,Ivy Inn,Chicago,3
user_056,Harbor Inn,Seattle,3
user_056,Meridian Grand Hotel,Toronto,2
user_056,Meridian Suites,Chicago,4
user_056,Aspen Grand Hotel,Toronto,4
user_056,Lantern Grand Hotel,Vancouver,3
user_056,Azure Inn,Vancouver,4
user_056,Cascade Inn,Seattle,3
user_056,Cascade Suites,Toronto,2
user_056,Monarch Suites,New York,4
user_056,Coral Grand Hotel,New York,4
user_056,Azure Lodge,Vancouver,4
user_056,Meridian Lodge,Chicago,3
user_056,Summit Grand Hotel,New York,4
user_056,Monarch Lodge,New York,4
user_056,Coral Suites,Toronto,4
user_056,Monarch Inn,Toronto,4
user_056,Summit Suites,New York,5
user_056,Vela Inn,Austin,3
user_057,Summit Resort,New York,4
user_057,Azure Resort,Seattle,5
user_057,Aspen Lodge,Austin,4
user_057,Monarch Suites,New York,3
user_057,Monarch Grand Hotel,Toronto,2
user_057,Monarch Inn,Toronto,4
user_057,Cascade Suites,Toronto,3
user_057,Monarch Resort,Vancouver,5
user_057,Aspen Grand Hotel,Toronto,4
user_057,Coral Suites,Toronto,4
user_057,Aspen Resort,New York,4
user_057,Azure Lodge,Vancouver,4
user_057,Azure Inn,Vancouver,5
user_058,Vela Resort,Chicago,5
user_058,Cascade Resort,Seattle,3
user_058,Monarch Grand Hotel,Toronto,4
user_058,Summit Inn,Toronto,3
user_058,Lantern Grand Hotel,Vancouver,4
user_058,Aspen Inn,New York,3
user_058,Coral Inn,Chicago,5
user_058,Meridian Suites,Chicago,3
user_058,Cascade Grand Hotel,Austin,3
user_059,Cascade Resort,Seattle,1
user_059,Ivy Inn,Chicago,2
user_059,Harbor Suites,Austin,1
user_059,Meridian Grand Hotel,Toronto,2
user_059,Regent Grand Hotel,Toronto,1
user_059,Azure Lodge,Vancouver,2
user_059,Meridian Lodge,Chicago,3
user_059,Meridian Resort,New York,1
user_059,Coral Inn,Chicago,2
user_059,Vela Inn,Austin,2
user_059,Lantern Grand Hotel,Vancouver,2
user_059,Aspen Grand Hotel,Toronto,3
user_059,Summit Resort,New York,1
user_059,Azure Grand Hotel,Seattle,4
user_059,Lantern Suites,New York,1
user_059,Vela Lodge,New York,2
user_059,Meridian Suites,Chicago,1
user_059,Coral Lodge,Chicago,2
